Title,Salary,Job Type,Job Location,Functional Area,Career Level,Minimum Experience,Minimum Education,Gender,Skills,Remote_Friendly
Sales Support Coordinator,30000.0,full time/permanent,"Wapda Employees Coop Society, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,1.0,Bachelor,No Preference,"Multitasking Skills, Coordination Skills, Communication Skills, MS Excel, Microsoft Word, Microsoft Outlook",0
Lawyer,80000.0,full time/permanent,"Bahria Town Lahore, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Legal Affairs,Experienced Professional,,Bachelor,Male,"Coordination Skills, Communication Skills, Legal Affair Handling",0
Accounts Officer,70000.0,full time/permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Experienced Professional,,Bachelor,Male,"Accounts Management, Bookkeeping Knowledge, Financial Accounting",0
Sales Support Coordinator,30000.0,full time/permanent,"Wapda Employees Coop Society, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,1.0,Bachelor,No Preference,"Sales Management, Retail Sales, Client Acquisition Skills",0
Accounts Officer,30000.0,full time/permanent,"Ghuinke, 
                                                                                                                                                                                                                                                                                                            Sialkot,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Entry Level,,Bachelor,Female,"Accounts Software Command, Accounts Adminstration, Accounts Payments Handling",0
Sales Executive,30000.0,full time/permanent,"Gujar Khan,
                                                                                                                                                                                                                                                                                                                                                                                        Hari Pur,
                                                                                                                                                                                                                                                                                                                                                                                        Khair Pur Mir,
                                                                                                                                                                                                                                                                                                                                                                                        Mansehra,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,1.0,Intermediate,No Preference,"Sales Management, Customer Relationship Management, Market Research, Communication Skills",0
Video Editor,25000.0,full time/permanent,"Remote,
                                                                                                                                                                                                                                                                                            Canada",Creative Design,Entry Level,,Non-Matriculation,No Preference,"Video Editing Techniques, Adobe Photo Shop, Canva",0
Sales Representative,60000.0,full time/permanent,"Hyderabad,
                                                                                                                                                                                                                                                                                                                                                                                        Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,1.0,Intermediate,No Preference,"Communication Skills, Retail Sales, Sales Management, Target Orientation Skills",0
Admin / HR Officer,60000.0,full time/permanent,"Karachi,
                                                                                                                                                                                                                                                                                                                                                                                        Gharo,
                                                                                                                                                                                                                                                                                            Pakistan",Human Resources,Experienced Professional,3.0,Bachelor,No Preference,"Administrative Management, Vendor Relations Management, Record Keeping, Compliance Management, Payroll Process, HR Information Management",0
Manager Product Development,150000.0,full time/permanent,"Islamabad,
                                                                                                                                                                                                                                                                                            Pakistan",Product Development,Experienced Professional,,Bachelor,No Preference,"Communication Skills, Product Development Process, Leadership Skills",0
Assistant Accountant,35000.0,full time/permanent,"Kot Abdul Malik, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Experienced Professional,,,Male,"Accounts Management Skills, Accounts Software Command, MS Office, Coordination Skills",0
Retail Sales Executive,45000.0,full time/permanent,"Gujranwala,
                                                                                                                                                                                                                                                                                                                                                                                        Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Retail,Experienced Professional,,Bachelor,Male,"Retail  Knowledge, Retail Product Management, Sales Coordination, Retail Products Knowledge, Sales Management, Communication Skills",0
Business Development Executive,50000.0,full time/permanent,"DHA, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Experienced Professional,,Bachelor,No Preference,"Market Research, B2B Business Development, Project Management, Business Development Strategies",0
Team Lead - Call Center,80000.0,full time/permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Operations,Entry Level,1.0,Bachelor,No Preference,"Communication Skills, Training Development, Team Learning",0
Admin Executive,60000.0,full time/permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Administration,Experienced Professional,2.0,Bachelor,Male,"Time Management, Communication Skills, Project Administration, Administrative Management, Admin Task Planning",0
Admin / Inventory Control Assistant,35000.0,full time/permanent,"Shadman, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Administration,Entry Level,,Bachelor,Female,"Problem Solving Skills, Admin Tasks Management, Communication Skills",0
Export Incharge,50000.0,full time/permanent,"I.I Chundrigar Road, 
                                                                                                                                                                                                                                                                                                            Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Import & Export,Experienced Professional,2.0,Bachelor,Male,"Export  Operations Management, Inventory Control Management, Communication Skills",0
Marketing Coordinator,50000.0,full time/permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Marketing,Experienced Professional,4.0,Bachelor,Male,"Digital Marketing Analysis, Market Research, Communication Skills, Coordination Skills",0
Customer Support Representative,50000.0,full time/permanent,"Gulshan Ravi, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Client Services & Customer Support,Experienced Professional,,Bachelor,No Preference,"Customer Handling, Communication Skills, Customer Satisfaction Management",0
Executive Assistant to the CEO,50000.0,full time/permanent,"Bahria Town Rawalpindi, 
                                                                                                                                                                                                                                                                                                            Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan","Secretarial, Clerical & Front Office",Entry Level,,Bachelor,No Preference,"Admin Task Management, MS Excel, Documents Management",0
Accountant,20000.0,full time/permanent,"Daroghewala, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Experienced Professional,2.0,Bachelor,Male,"Accounts Management, QuickBook Knowledge, Payroll Process",0
Sales / Marketing Manager,40000.0,full time/permanent,"Sialkot,
                                                                                                                                                                                                                                                                                            Pakistan",Marketing,Experienced Professional,3.0,Bachelor,Male,"Market Research, Team Collaboration, Sales Management, Communication Skills",0
Full Stack Developer,50000.0,full time/permanent,"Islamabad,
                                                                                                                                                                                                                                                                                                                                                                                        Hyderabad,
                                                                                                                                                                                                                                                                                                                                                                                        Karachi,
                                                                                                                                                                                                                                                                                                                                                                                        Lahore,
                                                                                                                                                                                                                                                                                                                                                                                        Multan,
                                                                                                                                                                                                                                                                                                                                                                                        Peshawar,
                                                                                                                                                                                                                                                                                                                                                                                        Quetta,
                                                                                                                                                                                                                                                                                                                                                                                        Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan",Software & Web Development,Experienced Professional,2.0,Intermediate,No Preference,"Web Application, Restful Architecture, Javascript, CSS, HTML, React, Django, Node.js, Google Cloud",0
Social Media Manager,15000.0,full time/permanent,"Bahria Town Rawalpindi, 
                                                                                                                                                                                                                                                                                                            Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan",Marketing,Entry Level,1.0,Master,Female,"Social Media Strategises, Social Media Optimization, Social Media Handling",0
Customer Sales Representative,30000.0,full time/permanent,"Shamsabad, 
                                                                                                                                                                                                                                                                                                            Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan",Telemarketing,Entry Level,1.0,Intermediate,No Preference,"Customer Handling, Fluent in English, Communication Skills",0
Virtual Assistant - Sales,25000.0,full time/permanent,"Riwaz Garden, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,,Bachelor,No Preference,"Microsoft Office, Product Hunting, Internet Browsing, Communication Skills",0
Site Supervisor,50000.0,full time/permanent,"Rachna Town, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Architects & Construction,Entry Level,1.0,Intermediate,No Preference,"Reporting Abilities, Supervision Skills, Site Administration",0
Customer Sales Agent / Closer,20000.0,full time/permanent,"Shamsabad, 
                                                                                                                                                                                                                                                                                                            Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan",Telemarketing,Entry Level,1.0,Intermediate,No Preference,"Telemarketing Skills, Communication Skills, Fluent in English",0
Stock Manager,20000.0,full time/permanent,"Khayaban-e-Sir Syed, 
                                                                                                                                                                                                                                                                                                            Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan",Warehousing,Experienced Professional,,Bachelor,No Preference,"Inventory Management, Stock Audit Planning, Stock Analyzes",0
Sales Executive,20000.0,full time/permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,,Matriculation,Male,"End to End Sales, Communication Skills, Sales Management",0
Stock Keeper,20000.0,full time/permanent,"Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan",Warehousing,Experienced Professional,,,No Preference,"Stock Audit Planning, Stock Ledger Maintenance, Stock Analyzes, Stock Management",0
Manager Corporate Partnerships,175000.0,full time/permanent,"Islamabad,
                                                                                                                                                                                                                                                                                                                                                                                        Karachi,
                                                                                                                                                                                                                                                                                                                                                                                        Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Corporate Affairs,Experienced Professional,5.0,Master,Male,"Relationship Management, Multitasking Skills, Fundraising Skills",0
Maintenance Engineer,45000.0,full time/permanent,"Multan,
                                                                                                                                                                                                                                                                                            Pakistan",Engineering,Entry Level,,Bachelor,Male,"Equipment Maintenance, Negotiations Skills, End  to End Sales",0
