Title,Salary,Job Type,Job Location,Functional Area,Career Level,Minimum Experience,Minimum Education,Gender,Skills,Remote_Friendly
QC Manager,60000.0,full time/permanent,"Manga Mandi, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Quality Control,Experienced Professional,,Bachelor,Male,"Audit Skills, Supplier Quality Management, Team Management, Quality Matrics & Reporting, Quality Issue Resolution, Inspection Skills, Quality Planing, Quality Management System",0
Architect Engineer,100000.0,full time/permanent,"Islamabad,
                                                                                                                                                                                                                                                                                                                                                                                        Faisalabad,
                                                                                                                                                                                                                                                                                                                                                                                        Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Architects & Construction,Entry Level,,Bachelor,Female,"Fluent in English, AutoCAD, Revit Knowledge",0
Education Counselor,40000.0,full time/permanent,"Karachi,
                                                                                                                                                                                                                                                                                                                                                                                        Lahore,
                                                                                                                                                                                                                                                                                                                                                                                        Multan,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Experienced Professional,2.0,Bachelor,No Preference,"Fluent in English, Negotiations, Admissions Counseling",0
eCommerce Manager,20000.0,full time/permanent,"Lahore,
                                                                                                                                                                                                                                                                                                                                                                                        Pir Mahal,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,1.0,Bachelor,No Preference,"Analytical Skills, Shopify Theme Management, Sales Management Skills, Budgeting Skills, Presentation Skills, Admin Operations Management, MIT Knowledge",0
Cost Analyst / Controller,20000.0,full time/permanent,"Lahore,
                                                                                                                                                                                                                                                                                                                                                                                        Pir Mahal,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Entry Level,1.0,Bachelor,No Preference,"Financial Analysis, Financial Accounting, Corporate Finance, Budgeting Skills",0
Sr. Assistant Manager - Lead Stitching Lines,120000.0,full time/permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",,,4.0,,No Preference,"Leadership, Time Management, Quality Control, Communication",0
Marketing,50000.0,full time/permanent,"Islamabad,
                                                                                                                                                                                                                                                                                            Pakistan",,,3.0,,No Preference,"Data Analysis, Social Media Management, Creative Thinking",0
Team Lead Meal,200000.0,full time/permanent,"Peshawar,
                                                                                                                                                                                                                                                                                            Pakistan",,,5.0,,No Preference,"Communication, Problem Solving, Decision Making, Conflict Resolution, Organizational Skills, Project Management",0
Assistant Treasury Manager,150000.0,full time/permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",,,4.0,,No Preference,"Cash Management, Financial Analysis, Risk Management, Budgeting, Forecasting, Compliance Knowledge, Communication, Cash Flow Forecasting, Liquidity Management Tools, Risk Management Framework, Trade Finance, Banking Relations, Cash forecasting, Liquidity Risk Assessment, Liquidity Risk Management",0
Data Entry Operator,45000.0,full time/permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",,,1.0,,No Preference,"Database Management, Data Entry Automation Tools, SQL Database Management, Vlookup, Pivot Tables, Data Validation Techniques, Database Entry Tools, Data management software, Admin Operations Management, Excel Proficiency, Typing Speed, Data Validation, Spreadsheet Tools, Typing proficiency, Data Entry Software, Organizational Skills, Communication Skills, Basic Computer Skills, Time Management, Data Verification",0
Data Scientish,200000.0,full time/permanent,"Islamabad,
                                                                                                                                                                                                                                                                                            Pakistan",,,6.0,,No Preference,"Statistical Analysis, Machine Learning, Programming Skills, Python",0
Digital Marketing Specialist,15000.0,full time/permanent,"P.E.C.H.S, 
                                                                                                                                                                                                                                                                                                            Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Marketing,Entry Level,,Intermediate,Male,"Digital Marketing Analysis, Digital Marketing Management, Vendor Relations Management",0
Junior Technical Writer,60000.0,full time/permanent,"Islamabad,
                                                                                                                                                                                                                                                                                                                                                                                        Karachi,
                                                                                                                                                                                                                                                                                                                                                                                        Lahore,
                                                                                                                                                                                                                                                                                                                                                                                        Peshawar,
                                                                                                                                                                                                                                                                                                                                                                                        Abbottabad,
                                                                                                                                                                                                                                                                                            Pakistan",Writer,Entry Level,1.0,Bachelor,No Preference,"Content Writing Skills, Communication Skills, Technical Proposal Writing",0
Marketing Executive,35000.0,full time/permanent,"Gulberg 3, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Marketing,Entry Level,1.0,Bachelor,Female,"Admin Operations Management, Digital Marketing Analysis, Digital Marketing Management, Communication Skills",0
Graphic Designer,30000.0,full time/permanent,"Kutchehry, 
                                                                                                                                                                                                                                                                                                            Multan,
                                                                                                                                                                                                                                                                                            Pakistan",Creative Design,Entry Level,1.0,,No Preference,"Communication Skills, Graphics Design, Graphics Editing",0
Sales Agent - Truck Dispatch,30000.0,full time/permanent,"Shadman, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,1.0,Intermediate,No Preference,"Fluent in English, Communication Skills, Coordination Skills",0
Junior Accountant,50000.0,full time/permanent,"Clifton, 
                                                                                                                                                                                                                                                                                                            Karachi,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Experienced Professional,2.0,Bachelor,No Preference,"MS Office, Financial Accounting, Accounts Payments Handling",0
Digital Marketing Specialist,15000.0,full time/permanent,"P.E.C.H.S, 
                                                                                                                                                                                                                                                                                                            Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Marketing,Entry Level,,Intermediate,Male,"Digital Marketing Analysis, Digital Marketing Management, Content Marketing Skills",0
Social Media Content Specialist,100000.0,part time,"Islamabad,
                                                                                                                                                                                                                                                                                                                                                                                        Faisalabad,
                                                                                                                                                                                                                                                                                                                                                                                        Hyderabad,
                                                                                                                                                                                                                                                                                                                                                                                        Karachi,
                                                                                                                                                                                                                                                                                                                                                                                        Lahore,
                                                                                                                                                                                                                                                                                                                                                                                        Multan,
                                                                                                                                                                                                                                                                                                                                                                                        Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan",Marketing,Entry Level,1.0,Bachelor,No Preference,"Content Creation, Social Media Optimization, Content Development, Fluent in English, Copywriting Skills, Graphic Design",0
International Sales Agent,20000.0,full time/permanent,"Hyderabad,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,,Bachelor,No Preference,"Coordination Skills, Pricing Negotiation Skills, Communication Skills",0
Junior React / Node.js Engineer,20000.0,full time/permanent,"Gujrat,
                                                                                                                                                                                                                                                                                            Pakistan",Software & Web Development,Entry Level,1.0,Bachelor,No Preference,"Team Collaboration, RESTful APIs, HTML5, Javascript, NodeJs, React JS, React Native, Redux, Scrum, Docker, Mocha, Git, PostgreSQL",0
Social Media Marketing Manager,50000.0,full time/permanent,"Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan",Marketing,Experienced Professional,,Bachelor,No Preference,"Google Analytics, Google Ads Planning, Google Ads, Meta Ads",0
CCTV Surveillance Officer,20000.0,full time/permanent,"Islamabad,
                                                                                                                                                                                                                                                                                            Pakistan",Security,Entry Level,1.0,Bachelor,No Preference,"IP CCTV Knowledge, Feedback Assessment, Digital Surveillance",0
Customer Support Representative,60000.0,full time/permanent,"Gulberg 3, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Client Services & Customer Support,Experienced Professional,4.0,Bachelor,Female,"Customer Care Representation, Listening to Customers, Negotiations Skills, Customer Satisfaction Management, Customer Analysis",0
Customer Sales Representative,40000.0,full time/permanent,"Islamabad,
                                                                                                                                                                                                                                                                                                                                                                                        Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan",Client Services & Customer Support,Entry Level,1.0,Bachelor,No Preference,"Communication Skills, Customer Care Representation, Fluent in English, Client Dealing",0
Graphic Designer,40000.0,full time/permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Creative Design,Experienced Professional,,Bachelor,No Preference,"Printing Knowledge, Graphics Editing, Adobe In Design, Corel Draw, Adobe Illustrator",0
Sales Assistant,45000.0,full time/permanent,"Ferozepur Road, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,1.0,Master,No Preference,"Bank Reconciliation, Accounts Management Skills, End to End Sales",0
eCommerce Website Manager,20000.0,full time/permanent,"Bahadurabad, 
                                                                                                                                                                                                                                                                                                            Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,1.0,Intermediate,Male,"Social Media Post Creation, Automation Tools, Website Content Management, Digital Marketing Tools, E-commerce Platforms Knowledge, Banner Creation, Admin Operations Management, Google Sheets",0
Software Developer,175000.0,full time/permanent,"Karachi,
                                                                                                                                                                                                                                                                                                                                                                                        Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Software & Web Development,Experienced Professional,3.0,Non-Matriculation,No Preference,"Git, MySQL, CSS, HTML, JScript, PHP, Docker, Linux Network Administration",0
Accounts Officer,40000.0,full time/permanent,"Islamabad,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Experienced Professional,2.0,Bachelor,No Preference,"Vendor Relations Management, Record Keeping, Payroll Processing, Data Analytics",0
Accountant,70000.0,full time/permanent,"Karachi,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Experienced Professional,5.0,Master,No Preference,"Audit Assignment Handling, Admin Operations Management, General Accounts Management, Bank Reconciliation, Financial Accounting, Fluent in English",0
Deputy Sales Manager,50000.0,full time/permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Department Head,5.0,Intermediate,No Preference,"Communication Skills, B2B Business Development, Email List Management",0
Cabin Crew,700000.0,full time/permanent,"Islamabad,
                                                                                                                                                                                                                                                                                            Pakistan",Client Services & Customer Support,Entry Level,1.0,Intermediate,No Preference,"End  to End Sales, Multitasking Skills, Email List Management, Admin Operations Management",0
Social Media Marketing Executive,45000.0,full time/permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Marketing,Experienced Professional,2.0,Bachelor,Female,"Paid Media Management, Social Media Handling, Online Content Creation, Market Research Project Management",0
IT Specialist,80000.0,full time/permanent,"Zafarwal, 
                                                                                                                                                                                                                                                                                                            Narowal,
                                                                                                                                                                                                                                                                                            Pakistan",Software & Web Development,Department Head,,Bachelor,No Preference,"ASP.net, Javascript, XML, HTML5, CSS3",0
Content Marketing Expert,30000.0,full time/permanent,"Islamabad,
                                                                                                                                                                                                                                                                                                                                                                                        Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Marketing,Entry Level,,Intermediate,No Preference,"Content Marketing Skills, Content Optimization, Research Skills, Analytics Skills, Writing Skills, SEO",0
SEO / Social Media Marketing Intern,20000.0,internship,"Johar Town, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Marketing,Intern/Student,1.0,Bachelor,No Preference,"Creative Social Management, Vendor Relations Management, Software Documentation Maintenance",0
Student Counselor,30000.0,full time/permanent,"Faisalabad,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,1.0,Master,No Preference,"Communication Skills, Student Affairs Handling, Student Counseling",0
Student Counselor,30000.0,full time/permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,1.0,Master,No Preference,"Communication Skills, Student Affairs Handling, Student Counseling",0
Customer Service Officer - English Speaker,40000.0,full time/permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Client Services & Customer Support,Experienced Professional,2.0,Intermediate,No Preference,"Enterprise Sales, Sales Management Skills, B2B Business Development, Email List Management",0
Remittance Officer,18000.0,full time/permanent,"Karachi,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Experienced Professional,2.0,Intermediate,No Preference,"Transaction Record, Budgeting Skills, Financial Services, Remittances Handling, Transaction Record Management, Remittance Processing",0
Telemarketing Executive,25000.0,full time/permanent,"DHA, 
                                                                                                                                                                                                                                                                                                            Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Telemarketing,Entry Level,,Intermediate,Female,"Representation Skills, Fluent in English, Lead Generation  Skills",0
Online Marketing Executive,35000.0,full time/permanent,"Gulberg 2, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Marketing,Entry Level,,Bachelor,Female,"Internet Browsing, Admin Operations Management, Communication Skills, eCommerce  SEO",0
Customer Sales Representative,50000.0,full time/permanent,"Islamabad,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,,Intermediate,No Preference,"Customer Analysis, Customer Acquisition Skills, Customer Satisfaction Management",0
Website Content Writer,20000.0,full time/permanent,"Lahore,
                                                                                                                                                                                                                                                                                                                                                                                        Pir Mahal,
                                                                                                                                                                                                                                                                                            Pakistan",Writer,Entry Level,1.0,Bachelor,No Preference,"Fluent in English, Web Content Production, Creative Writing, Knowledge of Spreadsheets, Business Development Strategies, Content Optimization",0
SEO Specialist,20000.0,full time/permanent,"Lahore,
                                                                                                                                                                                                                                                                                                                                                                                        Pir Mahal,
                                                                                                                                                                                                                                                                                            Pakistan",Search Engine Optimization (SEO),Experienced Professional,2.0,Bachelor,No Preference,"eCommerce  SEO, SEM Knowledge, SEO Audits, Search Engine Technology Command, SEMRUSH, Keyword Research Skills, Search Engine Submission, SEO Engine Ranking",0
SEO Expert,35000.0,full time/permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Search Engine Optimization (SEO),Experienced Professional,2.0,Bachelor,No Preference,"Search Engine Submission, Keyword Analysis, SEOMoz, Search Engine Ranking, SEO Audits",0
Xray Technician,45000.0,full time/permanent,"Islamabad,
                                                                                                                                                                                                                                                                                            Pakistan",Maintenance/Repair,Experienced Professional,3.0,Bachelor,No Preference,"Use of Medical Equipment, Analytical Skills, Time Management",0
Travel Consultant,35000.0,full time/permanent,"Faisal Town, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,1.0,Intermediate,No Preference,"Telemarketing  Skills, Travel Arrangements, Sales, Negotiations Skills, Customer Care Representation, Travel Sales",0
Server Administrator,50000.0,full time/permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Computer Networking,Experienced Professional,2.0,Bachelor,No Preference,"Problem Solving Skills, Coordination Skills, Server Management, Communication Skills",0
SEO Executive,30000.0,full time/permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Search Engine Optimization (SEO),Experienced Professional,2.0,Bachelor,No Preference,"SEO Audits, Keyword Research Skills, eCommerce  SEO, SEM Knowledge",0
Graphic Designer / Video Editor,40000.0,full time/permanent,"Pak Arab, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Creative Design,Entry Level,1.0,Intermediate,No Preference,"Graphics Editing, Video Editing Techniques, Animation Editing",0
Senior Electrical Engineer,100000.0,full time/permanent,"Old Walled City Peshawar, 
                                                                                                                                                                                                                                                                                                            Peshawar,
                                                                                                                                                                                                                                                                                            Pakistan",Engineering,Experienced Professional,4.0,Bachelor,No Preference,"Document Drafting, Communication Skills, Presentation Skills, End To End Project Management, MS Office",0
Chemist - NC,40000.0,full time/permanent,"Sagian Wala, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Industrial Production,Experienced Professional,3.0,Bachelor,No Preference,"Chemical Formulation, Chemical Testing, Communication Skills",0
Principal,100000.0,full time/permanent,"Islamabad,
                                                                                                                                                                                                                                                                                            Pakistan","Teachers/Education, Training & Development",Experienced Professional,5.0,Master,No Preference,"Educational Assessment, Academic Administration, Interpersonal Leadership",0
Assistant Professor Marketing - Faculty of Business Management,60000.0,full time/permanent,"Rawat, 
                                                                                                                                                                                                                                                                                                            Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan","Teachers/Education, Training & Development",Entry Level,1.0,Doctorate,No Preference,"Presentation Skills, Principles  Of Marketing, Marketing Skills, Marketing Courses",0
Customer Sales Representative,25000.0,full time/permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Telemarketing,Entry Level,,Intermediate,No Preference,"Coordination Skills, Travels Knowledge, Communication Skills, Fluent in English",0
Textile Designer - Western Wear,50000.0,full time/permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Creative Design,Entry Level,1.0,Bachelor,No Preference,"Competitor Analysis, Clothing Design, Fabric Awareness, Womens Fashion, Mens Fashion, Fashion Design, Market Trend Research, Pattern Making, Vendor Management Skillls, Merchandising Skills, Digital Marketing Skills",0
Truck Dispatcher / Sales Agent,45000.0,full time/permanent,"Cantt, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Client Services & Customer Support,Entry Level,1.0,Bachelor,No Preference,"Outbound Calls Handling, Dispatch Skills, Communication Skills",0
